Representative Ackerman, Gary L.
Representative DeLauro, Rosa L.
Representative Denham, Jeff
Representative Dent, Charles W.
Representative DesJarlais, Scott
Representative Deutch, Theodore E.
Representative Diaz-Balart, Mario
Representative Dicks, Norman D.
Representative Dingell, Debbie
Representative Doggett, Lloyd
Representative Dold, Robert J.
Senator Donnelly, Joe
Representative Doyle, Michael F.
Representative Dreier, David
Representative Duffy, Sean P.
Representative Duncan, Jeff
Representative Duncan, John J., Jr.
Representative Edwards, Donna F.
Representative Ellison, Keith
Representative Ellmers, Renee L.
Representative Emerson, Jo Ann
Representative Engel, Eliot L.
Representative Eshoo, Anna G.
Representative Farenthold, Blake
Representative Farr, Sam
Representative Fattah, Chaka
Representative Filner, Bob
Representative Fincher, Stephen Lee
Representative Fitzpatrick, Brian K.
Senator Flake, Jeff
Representative Fleischmann, Charles J. "Chuck"
Representative Fleming, John
Representative Flores, Bill
Representative Forbes, J. Randy
Representative Fortenberry, Jeff
Representative Foxx, Virginia
Representative Frank, Barney
Representative Franks, Trent
Representative Frelinghuysen, Rodney P.
Representative Fudge, Marcia L.
Representative Gallegly, Elton
Representative Garamendi, John
Senator Gardner, Cory
Representative Garrett, Thomas A., Jr.
Representative Gerlach, Jim
Representative Gibbs, Bob
Representative Gibson, Christopher P.
Representative Giffords, Gabrielle
Representative Gingrey, Phil
Representative Gohmert, Louie
Representative Gonzalez, Vicente
Representative Goodlatte, Bob
Representative Gosar, Paul A.
Representative Gowdy, Trey
Representative Granger, Kay
Representative Graves, Tom
Representative Graves, Sam
Representative Green, Al
Representative Green, Gene
Representative Griffin, Tim
Representative Griffith, H. Morgan
Representative Grijalva, Raúl M.
Representative Grimm, Michael G.
Representative Guinta, Frank C.
Representative Guthrie, Brett
Representative Gutierrez, Luis V.
Representative Hall, Kwanza
Representative Hanabusa, Colleen
Representative Hanna, Richard L.
Representative Harper, Gregg
Representative Harris, Andy
Representative Hartzler, Vicky
Representative Hastings, Alcee L.
Representative Hastings, Doc
Representative Hayworth, Nan A. S.
Representative Heck, Denny
Senator Heinrich, Martin
Senator Heller, Dean
Representative Hensarling, Jeb
Representative Herger, Wally
Representative Herrera Beutler, Jaime
Representative Higgins, Brian
Representative Himes, James A.
Representative Hinchey, Maurice D.
Representative Hinojosa, Ruben
Senator Hirono, Mazie K.
Representative Holden, Tim
Representative Holt, Rush
Representative Honda, Michael M.
Representative Hoyer, Steny H.
Representative Huelskamp, Tim
Representative Huizenga, Bill
Representative Hultgren, Randy
Representative Hunter, Duncan D.
Representative Hurt, Robert
Representative Inslee, Jay
Representative Israel, Steve
Representative Issa, Darrell E.
Representative Jackson, Jesse L., Jr.
Representative Jackson Lee, Sheila
Representative Jenkins, Lynn
Representative Johnson, Henry C. "Hank," Jr.
Representative Johnson, Timothy V.
Representative Johnson, Bill
Representative Johnson, Eddie Bernice
Representative Johnson, Sam
Representative Jones, Mondaire
Representative Jordan, Jim
Representative Kaptur, Marcy
Representative Keating, William R.
Representative Kelly, Mike
Representative Kildee, Daniel T.
Representative Kind, Ron
Representative King, Steve
Representative King, Peter T.
Representative Kingston, Jack
Representative Kinzinger, Adam
Representative Kissell, Larry
Representative Kline, John
Representative Kucinich, Dennis J.
Representative Labrador, Raul R.
Representative Lamborn, Doug
Representative Gooden, Lance
Representative Landry, Jeffrey M.
Representative Langevin, James R.
Senator Lankford, James
Representative Larsen, Rick
Representative Larson, John B.
Representative Latham, Tom
Representative LaTourette, Steven C.
Representative Latta, Robert E.
Representative Lee, Barbara
Representative Levin, Andy
Representative Lewis, Jerry
Representative Lewis, John
Representative Lipinski, Daniel
Representative LoBiondo, Frank A.
Representative Loebsack, David
Representative Lofgren, Zoe
Representative Long, Billy
Representative Lowey, Nita M.
Representative Lucas, Frank D.
Representative Luetkemeyer, Blaine
Senator Lujan, Ben Ray
Senator Lummis, Cynthia M.
Representative Lungren, Daniel E.
Representative Lynch, Stephen F.
Representative Mack, Connie
Representative Maloney, Carolyn B.
Representative Manzullo, Donald A.
Representative Marchant, Kenny
Representative Marino, Tom
Senator Markey, Edward J.
Representative Matheson, Jim
Representative Matsui, Doris O.
Representative McCarthy, Kevin
Representative McCarthy, Carolyn
Representative McCaul, Michael T.
Representative McClintock, Tom
Representative McCollum, Betty
Representative McCotter, Thaddeus G.
Representative McDermott, Jim
Representative McGovern, James P.
Representative McHenry, Patrick T.
Representative McIntyre, Mike
Representative McKeon, Howard P. "Buck"
Representative McKinley, David B.
Representative McMorris Rodgers, Cathy
Representative McNerney, Jerry
Representative Meehan, Patrick
Representative Meeks, Gregory W.
Representative Mica, John L.
Representative Michaud, Michael H.
Representative Miller, Jeff
Representative Miller, Candice S.
Representative Miller, Brad
Representative Miller, Gary G.
Representative Miller, George
Representative Moore, Gwen
Senator Moran, Jerry
Representative Mulvaney, Mick
Senator Murphy, Christopher
Representative Murphy, Tim
Representative Myrick, Sue Wilkins
Representative Nadler, Jerrold
Representative Napolitano, Grace F.
Representative Neal, Richard E.
Representative Neugebauer, Randy
Representative Noem, Kristi L.
Representative Nugent, Richard B.
Representative Nunes, Devin
Representative Nunnelee, Alan
Representative Olson, Pete
Representative Olver, John W.
Representative Owens, Burgess
Representative Palazzo, Steven M.
Representative Pallone, Frank, Jr.
Representative Pascrell, Bill, Jr.
Representative Pastor, Ed
Representative Tonko, Paul
Representative Paulsen, Erik
Representative Payne, Donald M., Jr.
Representative Pearce, Stevan
Representative Pelosi, Nancy
Representative Pence, Greg
Representative Perlmutter, Ed
Senator Peters, Gary C.
Representative Peterson, Collin C.
Representative Petri, Thomas E.
Representative Pingree, Chellie
Representative Pitts, Joseph R.
Representative Platts, Todd Russell
Representative Poe, Ted
Representative Polis, Jared
Representative Pompeo, Mike
Representative Posey, Bill
Representative Price, Tom
Representative Price, David E.
Representative Quayle, Benjamin
Representative Quigley, Mike
Representative Rahall, Nick J., II
Representative Rangel, Charles B.
Senator Reed, Jack
Representative Rehberg, Denny
Representative Reichert, David G.
Representative Renacci, James B.
Representative Reyes, Silvestre
Representative Ribble, Reid J.
Representative Richardson, Laura
Representative Richmond, Cedric L.
Representative Rigell, E. Scott
Representative Rivera, David
Representative Roby, Martha
Representative Roe, David P.
Representative Rogers, Mike D.
Representative Rogers, Harold
Representative Rogers, Mike J.
Representative Rohrabacher, Dana
Representative Rokita, Todd
Representative Rooney, Francis
Representative Ros-Lehtinen, Ileana
Representative Roskam, Peter J.
Representative Ross, Mike
Representative Spano, Ross
Representative Rothman, Steven R.
Representative Roybal-Allard, Lucille
Representative Royce, Edward R.
Representative Runyan, Jon
Representative Ruppersberger, C. A. Dutch
Representative Rush, Bobby L.
Representative Ryan, Tim
Representative Ryan, Paul D.
Representative Sánchez, Linda T.
Representative Sanchez, Loretta
Representative Sarbanes, John P.
Representative Scalise, Steve
Representative Schakowsky, Janice D.
Representative Schiff, Adam B.
Representative Schilling, Robert T.
Representative Schmidt, Jean
Representative Schock, Aaron
Representative Schrader, Kurt
Representative Schwartz, Allyson Y.
Representative Schweikert, David
Senator Scott, Tim
Representative Scott, Robert C. "Bobby"
Representative Scott, Austin
Representative Scott, David
Representative Sensenbrenner, F. James, Jr.
Representative Serrano, Jose E.
Representative Sessions, Pete
Representative Sewell, Terri A.
Representative Sherman, Brad
Representative Shimkus, John
Representative Shuler, Heath
Representative Shuster, Bill
Representative Simpson, Michael K.
Representative Sires, Albio
Representative Slaughter, Louise McIntosh
Representative Smith, Adrian
Representative Smith, Christopher H.
Representative Smith, Lamar
Representative Smith, Adam
Representative Southerland, Steve II
Representative Speier, Jackie
Representative Stark, Fortney Pete
Representative Stearns, Cliff
Representative Stivers, Steve
Representative Stutzman, Marlin A.
Senator Sullivan, Dan
Representative Sutton, Betty
Representative Terry, Lee
Representative Thompson, Mike
Representative Thompson, Bennie G.
Representative Thompson, Glenn
Representative Thornberry, Mac
Representative Tiberi, Patrick J.
Representative Tierney, John F.
Representative Tipton, Scott R.
Representative Tonko, Paul
Representative Towns, Edolphus
Representative Tsongas, Niki
Representative Turner, Michael R.
Representative Upton, Fred
Senator Van Hollen, Chris
Representative Velazquez, Nydia M.
Representative Visclosky, Peter J.
Representative Walberg, Tim
Representative Walden, Greg
Representative Walsh, Joe
Representative Walz, Timothy J.
Representative Wasserman Schultz, Debbie
Representative Waters, Maxine
Representative Watt, Melvin L.
Representative Waxman, Henry A.
Representative Webster, Daniel
Representative Weiner, Anthony D.
Representative Welch, Peter
Representative Miller, Carol D.
Representative Westmoreland, Lynn A.
Representative Whitfield, Ed
Representative Wilson, Frederica S.
Representative Wilson, Joe
Representative Wittman, Robert J.
Representative Wolf, Frank R.
Representative Womack, Steve
Representative Woodall, Rob
Representative Woolsey, Lynn C.
Representative Wu, David
Representative Yarmuth, John A.
Representative Yoder, Kevin
Representative Young, Don
Representative Young, C. W. Bill
Senator Young, Todd
